COD. COLEGIO, REGIONAL, PROVINCIA, DISTRITO, CORREGIMIENTO, NOMBRE COLEGIO,ÁREA,PROGRAMAS, TIPO,total_passed,total_failed,total_deserted,pass_percent
3982,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,ESC. EL MIRADOR,URBANA,PRIMARIA UNIGRADO,OFICIAL,269,4,3,0.974637681
4003,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,C.E.B.G. BILINGÜE SANTA MARTA,URBANA,PRIMARIA UNIGRADO,OFICIAL,1289,17,2,0.985474006
4005,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,ESC. ROGELIO SINAN,URBANA,PRIMARIA UNIGRADO,OFICIAL,502,3,10,0.974757282
4006,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,C.E.B.G. BILINGÜE JERÓNIMO DE LA OSSA,URBANA,PRIMARIA UNIGRADO,OFICIAL,188,0,0,1
4007,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,C.E.B.G. BILINGÜE GENERAL JOSÉ DE SAN MARTIN,URBANA,PRIMARIA UNIGRADO,OFICIAL,955,45,0,0.955
4008,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,ARNULFO ARIAS,ESC. VALLE DE URRACA,URBANA,PRIMARIA UNIGRADO,OFICIAL,1402,22,0,0.984550562
4009,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,OMAR TORRIJOS H.,ESC. BILINGÜE SANTIAGO DE LA GUARDIA,URBANA,PRIMARIA UNIGRADO,OFICIAL,1017,31,0,0.970419847
4010,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,ESC. SAMARIA SINAÍ,URBANA,PRIMARIA UNIGRADO,OFICIAL,762,31,7,0.9525
4011,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,ESC. REPUBLICA DE COREA,URBANA,PRIMARIA UNIGRADO,OFICIAL,662,6,10,0.97640118
4012,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,ESC. DON BOSCO,URBANA,PRIMARIA UNIGRADO,OFICIAL,889,0,0,1
4038,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,OMAR TORRIJOS H.,ESC. JUAN JOSÉ AMADO,URBANA,PRIMARIA UNIGRADO,OFICIAL,123,2,2,0.968503937
4040,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,C.E.B.G. JOSEFINA TAPIA R.,URBANA,PRIMARIA UNIGRADO,OFICIAL,451,15,1,0.965738758
4041,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,C.E.B.G MANUEL BELGRANO,URBANA,PRIMARIA UNIGRADO,OFICIAL,321,0,7,0.978658537
4042,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,C.E.B.G. BILINGÜE DR. CARLOS A. MENDOZA,URBANA,PRIMARIA UNIGRADO,OFICIAL,991,10,0,0.99000999
4043,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,OMAR TORRIJOS H.,C.E.B.G. BILINGÜE SANTA LIBRADA,URBANA,PRIMARIA UNIGRADO,OFICIAL,1285,34,0,0.974222896
4044,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,OMAR TORRIJOS H.,ESC. BILINGÜE DOMINGO F. SARMIENTO,URBANA,PRIMARIA UNIGRADO,OFICIAL,658,13,2,0.977711738
4045,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,C.E.B.G. BILINGÜE REPUBLICA DE FRANCIA,URBANA,PRIMARIA UNIGRADO,OFICIAL,886,2,2,0.995505618
4046,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,C.E.B.G. BILINGÜE TORRIJOS CARTER,URBANA,PRIMARIA UNIGRADO,OFICIAL,1463,49,0,0.967592593
4047,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,OMAR TORRIJOS H.,ESC. MARÍA DEL ROSARIO SALAZAR,URBANA,PRIMARIA UNIGRADO,OFICIAL,150,1,0,0.993377483
