school_id,latitude,longitude
740,8.85413,-80.49338
741,8.71927,-80.45713
742,8.510774,-80.355013
743,8.62093,-80.5193
744,8.48333,-80.51667
745,8.62182,-80.54819
746,8.40302,-80.08262
750,8.63333,-80.56667
751,8.58333,-80.53333
752,8.46667,-80.36667
753,8.64183,-80.49325
754,8.66667,-80.55
756,8.335261,-80.519514
760,8.48333,-80.53333
761,8.31978,-80.64854
767,8.76667,-80.45
769,8.29044,-80.59751
770,8.23333,-80.61667
773,8.41187,-80.53404
776,8.45,-80.58333
777,8.6,-80.13333
778,8.51969,-80.58405
779,8.58333,-80.61667
781,8.16667,-80.61667
782,8.16667,-80.61667
783,8.55,-80.58333
784,8.51667,-80.7
787,8.46702,-80.75089
788,8.46702,-80.75089
789,8.34542,-80.64012
790,8.372987,-80.262637
795,8.39898,-80.15731
799,8.39898,-80.15731
800,8.48333,-80.7
804,8.55,-80.7
805,8.56294,-80.69695
806,8.6,-80.73333
807,8.16667,-80.61667
808,8.55,-80.71667
809,8.6,-80.75
810,8.235113,-80.535377
811,8.57694,-80.673
812,8.49051,-80.72607
813,8.38937,-80.63546
814,8.44893,-80.62339
815,8.56294,-80.69695
820,8.6,-80.45
821,8.399718,-80.261383
842,8.57591,-80.272413
843,8.372987,-80.262637
847,8.519518,-80.361212
849,8.53333,-80.36667
853,8.54235,-80.4355
854,8.521857,-80.358887
855,8.49151,-80.44866
857,8.39898,-80.15731
859,8.6,-80.41667
860,8.16667,-80.61667
864,8.603829,-80.124641
865,8.3,-80.55
867,8.69497,-80.19547
868,8.69122,-80.11136
869,8.64215,-80.2109
870,8.64805,-80.16979
871,8.83333,-80.48333
874,8.56667,-80.16667
876,8.8551,-80.25975
883,8.69521,-80.22607
884,8.695062,-80.222863
885,8.63404,-80.20533
888,8.68998,-80.14723
889,8.40899,-80.33167
893,8.76667,-80.45
894,8.48333,-80.65
895,8.41516,-80.34118
897,8.56667,-80.43333
898,8.521762,-80.358605
899,8.521541,-80.359448
900,8.58333,-80.25
901,8.9525,-80.19139
902,8.66774,-80.24275
903,8.55902,-80.30448
904,8.46702,-80.75089
905,8.6,-80.26667
906,8.63333,-80.25
915,8.235811,-80.534201
916,8.55167,-80.32749
917,8.52966,-80.32101
918,8.55551,-80.25
919,8.59065,-80.31199
920,8.57234,-80.2985
921,8.372987,-80.262637
923,8.57268,-80.27771
928,8.45317,-80.45
929,8.58333,-80.65
930,8.39898,-80.15731
931,8.519478,-80.361673
932,8.39898,-80.15731
934,8.9,-80.16667
935,8.5828,-80.60796
936,8.48333,-80.51667
