year,CODIGO,NOMBRE,REGION,APROBT,,
2014,4226,C.T.P. PADRE ROBERTO EVANS,LIMON,1103,,
2014,4223,C.T.P. DE TALAMANCA,SULA,602,,
2014,4222,C.T.P. DE BATAÁN,LIMON,872,,
2014,4228,C.T.P. GUÁCIMO,GUAPILES,580,,
2014,,LABORATORIO DEL C.U.P.,PUNTARENAS,110,,
2014,4092,LICEO LOS LAGOS,HEREDIA,481,,
2014,4090,LICEO SANTO DOMINGO,HEREDIA,364,,
2014,,SEK DE COSTA RICA,SAN JOSE CENTRAL,269,,
2014,,WEST COLLEGE,SAN JOSE OESTE,94,,
2014,,ACADEMIA TEOCALI,LIBERIA,104,,
2014,4000,UNIDAD PEDAGÓGICA DR. RAFAEL ÁNGEL,PEREZ ZELEDON,456,,
2014,,EL ESPÍRITU SANTO,SANTA CRUZ,103,,
2014,,CARIBBEAN SCHOOL,LIMON,108,,
2014,,CIENTIFICO DE COSTA RICA DE SAN PED,SAN JOSE NORTE,46,,
2014,4120,LICEO ANTONIO OBANDO CHAN,PUNTARENAS,655,,
2014,,ACADÉMICA DE COSTA RICA,HEREDIA,96,,
2014,,COLEGIO CRISTIANO ASAMBLEAS DE DIOS,SAN JOSE NORTE,92,,
2014,,BILINGÜE SANTA FE,ALAJUELA,45,,
2014,,SAN MARCOS,LIMON,92,,
2014,,CIENTIFICO DE COSTA RICA DE CARTAGO,CARTAGO,48,,
2014,,INSTITUTO DE DESARROLLO DE INTELIGE,SAN JOSE CENTRAL,83,,
2014,,SAINT JOHN,ALAJUELA,315,,
2014,4229,C.T.P. DE JACO,AGUIRRE,596,,
2014,3975,UNIDAD PEDAGOGICA JOSE RAFAEL ARAYA,SAN JOSE NORTE,510,,
2014,4141,LICEO DE CARIARI,GUAPILES,1332,,
2014,,BANDECO,LIMON,30,,
2014,,COLEGIO BILINGÜE SAN RAMON,OCCIDENTE,84,,
2014,4036,COLEGIO VALLE AZUL,OCCIDENTE,401,,
2014,,CIENTIFICO DE COSTA RICA DE SAN RAM,OCCIDENTE,28,,
2014,,ILPPAL,SAN JOSE OESTE,89,,
2014,,COLEGIO LAS AMERICAS,SAN JOSE NORTE,343,,
2014,,OASIS DE ESPERANZA,SAN JOSE NORTE,69,,
2014,,COLEGIO MONT BERKELEY INTERNACIONAL,SAN JOSE NORTE,79,,
2014,4010,LICEO SAN PEDRO,PEREZ ZELEDON,383,,
2014,4093,COLEGIO LA AURORA,HEREDIA,356,,
2014,4001,UNIDAD PEDAGÓGICA JOSÉ BREINDERHOFF,PEREZ ZELEDON,126,,
2014,4003,LICEO EL CARMEN,GRANDE DE TERRABA,199,,
2014,4002,LICEO POTRERO GRANDE,GRANDE DE TERRABA,146,,
2014,4030,EXPERIMENTAL BILINGÜE DE GRECIA,ALAJUELA,445,,
2014,,CENTRO EDUCATIVO MARÍA INMACULADA,LIMON,240,,
2014,4132,LICEO MARYLAND,LIMON,262,,
2014,4135,COLEGIO SULÁYÖM,SULA,207,,
2014,,COLEGIO BILINGÜE SAN FRANCISCO DE A,GUAPILES,238,,
2014,4066,EXPERIMENTAL BILINGÜE DE CARTAGO,CARTAGO,676,,
2014,4058,LICEO DE COT,CARTAGO,491,,
2014,,SAN AGUSTÍN,OCCIDENTE,148,,
2014,4151,LICEO SAN JOSE,ZONA NORTE-NORTE,212,,
2014,,BILINGÜE DEL VALLE,SAN JOSE OESTE,28,,
2014,3971,UNIDAD PEDAGOGICA CUATRO REINAS,SAN JOSE OESTE,156,,
2014,4158,C.T.P. DOS CERCAS,DESAMPARADOS,841,,
2014,3990,LICEO DE FRAILES,DESAMPARADOS,220,,
2014,,INNOVACION EDUCATIVA,SAN JOSE NORTE,60,,
2014,,SAN LORENZO,SAN JOSE NORTE,60,,
2014,,SAINT GREGORY,SAN JOSE NORTE,137,,
2014,,CIENTIFICO DE COSTA RICA DE GUANACA,LIBERIA,30,,
2014,4113,LICEO DE COLORADO,CAÑAS,281,,
2014,,SISTEMA EDUCATIVO SANTA FE,ALAJUELA,143,,
2014,4857,C.T.P. COVAO NOCTURNO,CARTAGO,533,,
2014,,SAGRADA REINA DE LOS ANGELES,SAN JOSE CENTRAL,175,,
2014,,VALLE AZUL,SAN JOSE OESTE,288,,
2014,,COLEGIO ISAAC MARTIN,SAN JOSE NORTE,204,,
2014,4095,LICEO LA VIRGEN,SARAPIQUI,350,,
2014,4076,COLEGIO SAN JOSÉ DE LA MONTAÑA,HEREDIA,330,,
2014,4123,LICEO COMTE,COTO,333,,
2014,4071,LICEO TUCURRIQUE,TURRIALBA,300,,
2014,4060,COLEGIO SAN FRANCISCO,CARTAGO,375,,
2014,4121,LICEO DE CHOMES,PUNTARENAS,305,,
2014,,COLEGIO SANTA TERESA,ALAJUELA,106,,
2014,4065,COLEGIO ALEJANDRO QUESADA R.,CARTAGO,523,,
2014,,SAN MIGUEL ARCANGEL,DESAMPARADOS,421,,
2014,4122,LICEO DE CHIRA,PUNTARENAS,154,,
2014,,PANAMERICANO,SAN JOSE OESTE,181,,
2014,3973,EXPERIMENTAL BILINGÜE LA TRINIDAD,SAN JOSE NORTE,476,,
2014,,INTERNACIONAL CANADIENSE,SAN JOSE CENTRAL,105,,
2014,,BILINGÜE INTERNACIONAL,SAN JOSE OESTE,58,,
2014,,CRISTIANA LIBERTAD,SAN JOSE NORTE,22,,
2014,4825,NOCTURNO BRAULIO CARRILLO,SAN JOSE NORTE,282,,
2014,4824,NOCTURNO DE HATILLO,SAN JOSE CENTRAL,319,,
2014,4837,NOCTURNO DESAMPARADOS,DESAMPARADOS,319,,
2014,4888,NOCTURNO LA CUESTA,COTO,366,,
2014,4822,NOCTURNO JOSE JOAQUIN JIMENEZ NUÑEZ,SAN JOSE NORTE,513,,
2014,4823,NOCTURNO LEON XIII,SAN JOSE NORTE,72,,
2014,4838,NOCTURNO DE PURISCAL,PURISCAL,275,,
2014,4839,NOCTURNO DE CIUDAD COLON,PURISCAL,166,,
2014,4840,NOCTURNO DE PÉREZ ZELEDON,PEREZ ZELEDON,591,,
2014,4848,NOCTURNO DE PALMARES,OCCIDENTE,545,,
2014,4842,NOCTURNO MIGUEL OBREGON LIZANO,ALAJUELA,584,,
2014,4843,NOCTURNO DE GRECIA,ALAJUELA,426,,
2014,4849,NOCTURNO JULIÁN VOLIO LLORENTE,OCCIDENTE,700,,
2014,4850,NOCTURNO DE NARANJO,OCCIDENTE,662,,
2014,4853,NOCTURNO DE CARTAGO,CARTAGO,963,,
2014,4855,NOCTURNO DE LA UNION,CARTAGO,665,,
2014,4859,NOCTURNO PBRO. ENRIQUE MENZEL,TURRIALBA,530,,
2014,4860,NOCTURNO ALFREDO GONZÁLEZ FLORES,HEREDIA,652,,
2014,4861,NOCTURNO HERMÁN LÓPEZ HERNÁNDEZ,HEREDIA,195,,
2014,4862,NOCTURNO DE RIO FRIO,SARAPIQUI,509,,
2014,4869,NOCTURNO DE LIBERIA,LIBERIA,386,,
2014,4871,NOCTURNO DE NICOYA,NICOYA,359,,
2014,4872,NOCTURNO DE SANTA CRUZ,SANTA CRUZ,292,,
2014,4875,NOCTURNO JUAN SANTAMARIA,CAÑAS,385,,
2014,,NOCTURNO CALASANZ,SAN JOSE NORTE,73,,
2014,4877,NOCTURNO JOSE MARTI,PUNTARENAS,187,,
2014,4878,NOCTURNO DE ESPARZA,PUNTARENAS,123,,
2014,4131,LICEO DE MATINA,LIMON,243,,
2014,4124,LICEO PACIFICO SUR,GRANDE DE TERRABA,506,,
2014,3972,LICEO MARIA AUXILIADORA,SAN JOSE OESTE,486,,
2014,4882,NOCTURNO DE GOLFITO,COTO,205,,
2014,4129,LICEO SIXAOLA,LIMON,124,,
2014,4881,NOCTURNO DE CIUDAD NEILY,COTO,473,,
2014,4889,NOCTURNO DE LIMÓN,LIMON,667,,
2014,4128,LICEO RÍO BANANO,LIMON,146,,
2014,4225,COLEGIO DEPORTIVO DE LIMÓN,LIMON,212,,
2014,4893,NOCTURNO DE POCOCÍ,GUAPILES,998,,
2014,,DEL VALLE,PEREZ ZELEDON,65,,
2014,4883,NOCTURNO DE SAN VITO,COTO,435,,
2014,4127,EXPERIMENTAL BILINGÜE DE AGUA BUENA,COTO,430,,
2014,4096,COLEGIO FELIPE PÉREZ PEREZ,LIBERIA,406,,
2014,,COLEGIO ENRIQUE MALAVASSI VARGAS,SAN JOSE NORTE,190,,
2014,4142,EXPERIMENTAL BILINGÜE DE POCOCÍ,GUAPILES,641,,
2014,,CIENTIFICO DE COSTA RICA DE SAN CAR,SAN CARLOS,32,,
2014,4150,LICEO BIJAGUA,ZONA NORTE-NORTE,296,,
2014,,COLEGIO ANGLOAMERICANO,SAN JOSE NORTE,365,,
2014,4007,COLEGIO LA ASUNCIÓN,PEREZ ZELEDON,443,,
2014,4894,NOCTURNO DE GUÁCIMO,GUAPILES,144,,
2014,4008,LICEO FERNANDO VOLIO JIMÉNEZ,PEREZ ZELEDON,695,,
2014,4107,EXPERIMENTAL BILINGÜE DE SANTA CRUZ,SANTA CRUZ,287,,
2014,,CRISTIANO PALABRA DE VIDA,ALAJUELA,123,,
2014,,VILASECA,HEREDIA,131,,
2014,,SANTA INÉS,HEREDIA,315,,
2014,,SAINT GEORGE HIGH SCHOOL,SAN JOSE CENTRAL,176,,
2014,,MIRAVALLE,CARTAGO,458,,
2014,,ADVENTISTA DE LIMÓN,LIMON,261,,
2014,3993,LICEO DE SABANILLAS,DESAMPARADOS,153,,
2014,4114,EXPERIMENTAL BILINGÜE DE NUEVO AREN,CAÑAS,185,,
2014,,JORGE DEBRAVO,TURRIALBA,103,,
2014,4072,LICEO SANTA TERESITA,TURRIALBA,290,,
2014,,GREEN VALLEY,GUAPILES,77,,
2014,4145,LICEO LA RITA,GUAPILES,511,,
2014,4138,LICEO DE TICABÁN,GUAPILES,346,,
2014,4099,COLEGIO SANTA CECILIA,LIBERIA,352,,
2014,4042,LICEO DE FLORENCIA,SAN CARLOS,576,,
2014,4041,LICEO SUCRE,SAN CARLOS,224,,
2014,,BILINGÜE SAN GERARDO,ALAJUELA,234,,
