year,CODIGO,NOMBRE,REGION,enrolled,passed,pass_rate
2020.0,4175.0,C.T.P. FRANCISCO JOSE ORLICH BOLMARCICH,OCCIDENTE,958,952,0.9937369519832986
2020.0,4232.0,C.T.P. UPALA,ZONA NORTE-NORTE,962,962,1.0
2020.0,4177.0,C.T.P. LOS CHILES,SAN CARLOS,774,762,0.9844961240310077
2020.0,4181.0,C.T.P. DE GUATUSO,ZONA NORTE-NORTE,736,734,0.9972826086956522
2020.0,4055.0,COLEGIO SAGRADO CORAZON DE JESUS,CARTAGO,832,828,0.9951923076923077
2020.0,4056.0,UNIDAD PEDAGOGICA RAFAEL HERNANDEZ MADRIZ,CARTAGO,534,520,0.9737827715355806
2020.0,4050.0,LICEO VICENTE LACHNER SANDOVAL,CARTAGO,1178,1178,1.0
2020.0,4051.0,COLEGIO SAN LUIS GONZAGA,CARTAGO,2573,2538,0.9863972017100661
2020.0,4054.0,COLEGIO SERAFICO SAN FRANCISCO,CARTAGO,758,754,0.9947229551451188
2020.0,4184.0,C.T.P. COVAO DIURNO,CARTAGO,733,673,0.9181446111869032
2020.0,0.0,PINDECO,GRANDE DE TERRABA,61,61,1.0
2020.0,4161.0,C.T.P. SAN JUAN SUR,DESAMPARADOS,802,802,1.0
2020.0,4052.0,LICEO DE PARAISO,CARTAGO,1820,1814,0.9967032967032967
2020.0,5082.0,C.T.P. MARIO QUIROS SASSO,CARTAGO,1492,1446,0.9691689008042895
2020.0,4070.0,LICEO HERNAN VARGAS RAMIREZ,TURRIALBA,497,495,0.9959758551307847
2020.0,4069.0,COLEGIO DR. CLODOMIRO PICADO TWIGHT,TURRIALBA,1417,1398,0.9865913902611151
2020.0,4189.0,C.T.P. LA SUIZA,TURRIALBA,903,903,1.0
2020.0,4185.0,C.T.P. DE PACAYAS,CARTAGO,1084,1074,0.9907749077490775
2020.0,4067.0,LICEO BRAULIO CARRILLO COLINA,CARTAGO,1003,974,0.9710867397806581
2020.0,4053.0,COLEGIO ELIAS LEIVA QUIROS,CARTAGO,1594,1573,0.9868255959849436
2020.0,0.0,COLEGIO MARIA AUXILIADORA,HEREDIA,141,141,1.0
2020.0,4085.0,LICEO ING. MANUEL BENAVIDES RODRIGUEZ,HEREDIA,1355,1355,1.0
2020.0,4078.0,LICEO DE HEREDIA,HEREDIA,1341,1234,0.9202087994034303
2020.0,4191.0,C.T.P. DE HEREDIA,HEREDIA,694,694,1.0
2020.0,4089.0,COLEGIO CLARETIANO,HEREDIA,953,953,1.0
2020.0,4077.0,LICEO ING. SAMUEL SAENZ FLORES,HEREDIA,1551,1551,1.0
2020.0,4192.0,C.T.P. DE ULLOA,HEREDIA,977,976,0.9989764585465711
2020.0,4083.0,CONSERVATORIO CASTELLA,HEREDIA,442,428,0.9683257918552036
2020.0,5077.0,COLEGIO RODRIGO HERNANDEZ VARGAS,HEREDIA,934,879,0.9411134903640257
2020.0,4081.0,COLEGIO SANTA MARIA DE GUADALUPE,HEREDIA,1634,1634,1.0
2020.0,4084.0,LICEO DE SANTA BÁRBARA,HEREDIA,1222,1105,0.9042553191489362
2020.0,4088.0,UNIDAD PEDAGOGICA LICEO EL ROBLE,HEREDIA,505,505,1.0
2020.0,4080.0,LICEO ING. CARLOS PASCUA ZUÑIGA,HEREDIA,1262,1258,0.9968304278922345
2020.0,4086.0,LICEO DE SAN ISIDRO,HEREDIA,1159,1157,0.998274374460742
