AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,pass_percent,,,,,
2020,81,7,ESCUELA PAYACHATAS,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,82,5,ESCUELA SAN FRANCISCO DE ASIS,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,83,3,ESCUELA COTA COTANI,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,84,1,ESCUELA LOS ALAMOS,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,86,8,ESCUELA SAN SANTIAGO DE BELEN,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,110,2,0.9,,,,,
2020,87,6,ESCUELA ANCOLACANE,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,88,4,ESCUELA ALCERRECA,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,89,2,ESCUELA HUMAPALCA,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,90,6,ESCUELA INTERNADO VISVIRI,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,0.965517241,,,,,
2020,91,4,ESCUELA COSAPILLA,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,0.25,,,,,
2020,92,2,ESCUELA CHISLLUMA,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,93,0,ESCUELA CHUJLLUTA,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,0.857142857,,,,,
2020,94,9,ESCUELA GUACOYO,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,95,7,ESCUELA COLPITAS,15,AYP,152,15202,GENERAL LAGOS,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,410,7,0.889273356,,,,,
2020,97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,510,7,1,,,,,
2020,97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,810,7,0.923076923,,,,,
2020,103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,1,110,2,0.982248521,,,,,
