school_id,latitude,longitude
890,-29.921547,-71.214453
891,-29.903896,-71.248423
892,-32.140281,-71.52945
897,-30.834009,-71.25627
899,-30.607775,-71.201201
900,-29.971509,-71.325695
902,-29.971509,-71.325695
904,-30.607775,-71.201201
905,-31.742207,-70.949155
906,-31.913286,-71.514131
908,-30.678916,-71.406391
911,-31.913286,-71.514131
914,-30.607775,-71.201201
915,-30.645341,-71.342601
916,-31.864855,-70.842955
917,-30.82665,-71.39252
924,-31.913286,-71.514131
925,-29.971509,-71.325695
928,-29.971509,-71.325695
929,-30.689184,-71.280508
931,-30.607775,-71.201201
932,-30.725418,-71.303929
933,-30.607775,-71.201201
935,-30.67938,-71.52171
936,-30.607775,-71.201201
940,-30.645341,-71.342601
945,-30.607775,-71.201201
946,-30.607775,-71.201201
947,-30.607775,-71.201201
948,-29.971509,-71.325695
949,-29.956662,-71.253977
950,-30.980113,-71.638214
951,-30.980113,-71.638214
952,-29.971509,-71.325695
953,-30.607775,-71.201201
955,-31.64187,-71.191754
957,-29.956662,-71.253977
959,-30.837999,-71.256011
960,-32.140281,-71.52945
963,-32.140281,-71.52945
967,-30.598669,-71.206028
969,-32.142459,-71.52545
970,-30.498483,-71.148848
971,-29.971509,-71.325695
972,-29.971509,-71.325695
973,-29.971509,-71.325695
978,-29.971509,-71.325695
981,-31.630443,-71.161011
982,-29.971509,-71.325695
984,-29.971509,-71.325695
985,-31.614076,-71.132818
987,-29.915757,-71.24943
990,-31.73201,-71.26955
991,-30.01969,-70.77638
994,-30.48604,-71.32442
995,-30.855328,-70.770702
996,-32.140281,-71.52945
998,-31.62188,-71.36302
1002,-32.140281,-71.52945
1004,-31.21068,-70.96536
1005,-29.903896,-71.248423
1006,-30.607775,-71.201201
1008,-31.41429,-71.58428
1013,-29.903205,-71.245952
1014,-31.781351,-70.967077
1016,-31.893952,-70.678578
1017,-29.971509,-71.325695
1018,-30.607775,-71.201201
1019,-29.971509,-71.325695
1021,-30.607775,-71.201201
1022,-31.9048,-70.7789
1027,-31.864855,-70.842955
1032,-29.971509,-71.325695
1033,-29.971509,-71.325695
1034,-31.913286,-71.514131
1036,-31.780441,-70.968282
1038,-32.140281,-71.52945
1040,-30.036955,-70.7155
1044,-31.680245,-70.899032
1045,-29.934044,-71.342663
1046,-30.695217,-71.248043
1047,-30.606378,-71.208649
1049,-29.915757,-71.24943
